#,japanese,pronounciation,translation
828,苦しい,くるしい,"painful, agonizing"
829,細かい,こまかい,"minute, fine"
830,静か,しずか,"quiet, tranquil"
831,健康,け,health
832,ゴルフ,ごるふ,golf
833,コース,こ,"course, route"
834,頼む,たのむ,"order, ask for"
835,困る,こまる,"be in trouble, not know what to do"
836,ずっと,ずっと,"all the time, all through"
837,例えば,たとえば,for example
838,つもり,つもり,"intention, purpose"
839,しばらく,しばらく,"a little while, a while"
840,紹介,しょうかい,introduction
841,小学校,しょうがっこう,elementary school
842,公園,こうえ,"park, public garden"
843,中学,ちゅうがく,junior high
844,成績,せいせき,"results, grade"
845,教科書,きょうかしょ,"textbook, schoolbook"
846,席,せき,"seat, one’s place"
847,教室,きょうしつ,"classroom, class"
848,教師,きょうし,"teacher, instructor"
849,試験,しけ,exam
850,合格,ごうかく,pass an examination
851,数学,すうがく,mathematics
852,数字,すうじ,numeric characters
853,音楽,お,music
854,食事,しょくじ,meal
855,壁,かべ,"wall, partition"
856,信じる,し,"believe, trust"
857,育てる,そだてる,"bring up, raise"
858,倒れる,たおれる,fall over
859,落とす,おとす,drop
860,代わる,かわる,"substitute, be substituted for"
861,タクシー,たくし,taxi
862,確か,たしか,"for sure, for certain"
863,立てる,たてる,"stand, set up"
864,中学生,ちゅうがくせい,junior high school student
865,売れる,うれる,"sell, be in demand"
866,着く,つく,"arrive at, reach"
867,決まる,きまる,be decided
868,飾る,かざる,decorate
869,殺す,ころす,kill
870,下げる,さげる,"lower, turn down"
871,贈る,おくる,"offer, give"
872,訪ねる,たずねる,"visit, go to see"
873,打つ,うつ,"hit, strike"
874,相談,そうだ,"consultation, advice"
875,玄関,げ,"entrance, door"
876,兄弟,きょうだい,sibling
877,長男,ちょうな,eldest son
878,高さ,たかさ,height
879,用,よう,things to do
880,時代,じだい,"age, era"
881,位置,いち,"position, location"
882,季節,きせつ,season
883,穴,あな,hole
884,裏,うら,"the back, the reverse side"
885,島,しま,island (Japanese origin)
886,海岸,かいが,"seashore, coast"
887,ガラス,がらす,glass (material)
888,自然,しぜ,natural
889,風,かぜ,wind
890,科学,かがく,science
891,太陽,たいよう,sun
892,台風,たいふう,typhoon
893,北,きた,north
894,馬,うま,horse
895,牛肉,ぎゅうにく,beef
896,雑誌,ざっし,"magazine, journal"
897,小説,しょうせつ,novel
898,大使館,たいしか,embassy
899,故障,こしょう,"malfunction, breakdown"
900,温度,お,temperature
901,何か,なにか,"something, some"
902,向こう,むこう,"over there, on the other side"
903,真ん中,まんあか,"center, middle (casual)"
904,遠く,とおく,"far away, at a distance"
905,横,よこ,"side, width across"
906,つまらない,つまらない,"boring, dull"
907,素晴らしい,すばらしい,"excellent, wonderful"
908,毎年,まいとし,every year (colloquial)
909,来月,らいげつ,next month
910,日時,にちじ,date and time
911,夕方,ゆうがた,"early evening, at dusk"
912,通る,とおる,"pass, go through"
913,自動車,じどうしゃ,automobile
914,慣れる,なれる,"grow accustomed to, get used to"
915,撮る,とる,"take (a photograph), film"
916,やっと,やっと,"at last, finally"
917,どんどん,ど,"knock, bang"
918,並べる,ならべる,"line up, arrange"
919,逃げる,にげる,"escape, run away"
920,渡す,わたす,"hand over, give"
921,値段,ねだ,price
922,両方,りょうほう,both
923,約束,やくそく,"promise, vow"
924,一部,いちぶ,part
925,ラジオ,らじお,radio
926,入院,にゅうい,be hospitalized
927,ニュース,にゅ,news
928,旅行,りょこう,"travel, trip"
929,用意,ようい,preparation
930,伸びる,のびる,"stretch, grow"
931,パーティー,ぱ,party
932,ビール,び,beer
933,早く,はやく,"early, soon"
934,番組,ば,program
935,ビデオ,びでお,video
936,増やす,ふやす,increase
937,振る,ふる,"wave, shake"
938,迎える,むかえる,"welcome, receive (a visitor)"
939,無理,むり,"unreasonable, impossible"
940,珍しい,めずらしい,"rare, scarce"
941,有名,ゆうめい,famous
942,喜ぶ,よろこぶ,"be happy, be delighted"
943,留学,りゅうがく,study abroad
944,料理,りょうり,cooking
945,野菜,やさい,vegetable
946,分かれる,わかれる,"be divided, split off"
947,特別,とくべつ,special
948,理由,りゆう,"reason, excuse"
949,自由,じゆう,freedom
950,方向,ほうこう,"direction, course"
951,残る,のこる,"remain, be left over"
952,ビル,びる,building
953,まとめる,まとめる,"gather together, put in order"
954,流れる,ながれる,"flow, run"
955,セーター,せ,sweater
956,シャツ,しゃつ,shirt
957,洗濯,せ,"laundry, washing"
958,間違える,まちがえる,"make a mistake, fail at"
959,アイスクリーム,あいすくり,ice cream
960,乾く,かわく,become dry
961,冷める,さめる,cool off
962,色々,いろいろ,a variety of
963,持って行く,もっていく,"take, bring"
964,着替える,きがえる,change clothes
965,石鹸,せっけ,soap
966,野球,やきゅう,baseball
967,昼食,,lunch
968,朝食,ちょうしょく,breakfast
969,眠る,ねむる,"sleep, lie idle"
970,初め,はじめ,beginning
971,火,ひ,"fire, flame"
972,西,にし,"west, western"
973,東,ひがし,"east, eastern"
974,南,みなみ,south
975,夕食,ゆうしょく,"supper, dinner"
976,なかなか,なかなか,"rather, pretty"
977,励ます,はげます,"encourage, cheer up"
978,涙,なみだ,tear
979,夢,ゆめ,dream
980,職場,しょくば,"place of work, office"
981,隣,となり,"next to, next door"
982,マンション,ま,"apartment, residential building"
983,エレベーター,えれべ,elevator
984,窓,まど,window
985,押す,おす,"push, press down"
986,入学,にゅうがく,"enter a school, matriculate"
987,戸,と,"door, sliding door"
988,通り,とおり,"street, road"
989,亡くなる,なくなる,"die, pass away"
990,夫婦,ふうふ,"husband and wife, married couple"
991,女性,じょせい,"woman, female (formal)"
992,森,もり,forest
993,トラック,とらっく,truck
994,レコード,れこ,record
995,熱,ねつ,"heat, fever"
996,ページ,ぺ,page
997,踊る,おどる,dance
998,長さ,ながさ,length
999,厚さ,あつさ,thickness
1000,秘密,ひみつ,"secret, privacy"
1001,凄い,すごい,"great, incredible"
1002,親切,し,"kind, kindhearted"
1003,絶対,ぜったい,"absolutely, never"
1004,先月,せ,last month
1005,一昨年,おととし,the year before last (colloquial)
1006,冬休み,ふゆやすみ,winter vacation
1007,夏休み,なつやすみ,summer vacation
1008,休日,きゅうじつ,"day off, holiday"
1009,正月,しょうがつ,"New Year, January"
1010,思い出,おもいで,memory
1011,たまに,たまに,"occasionally, by chance"
1012,おかしい,おかしい,"strange, peculiar"
1013,浅い,あさい,"shallow, superficial"
1014,君,きみ,you (referring to fellows or subordinates)
1015,奥さん,おくさ,"(somone else’s) wife, married woman"
1016,赤ちゃん,あかちゃ,baby (colloquial)
1017,小学生,しょうがくせい,elementary school student
1018,貸す,かす,"lend, lease"
1019,数える,かぞえる,count
1020,生む,うむ,"give birth, produce"
1021,育つ,そだつ,"be brought up, grow"
1022,是非,ぜひ,"by all means, please"
1023,黒,くろ,black
1024,おもちゃ,おもちゃ,"toy, plaything"
1025,靴,くつ,shoes
1026,連絡,れ,"contact, communication"
1027,伝言,で,message
1028,預ける,あずける,"deposit, leave (something) with (someone)"
1029,下がる,さがる,"go down, drop"
1030,泳ぐ,およぐ,swim
1031,アルバイト,あるばいと,part-time job
1032,コート,こ,"coat, jacket (loan word)"
1033,趣味,しゅみ,"hobby, interest"
1034,散歩,さ,"walk, stroll"
1035,幸せ,しあわせ,"happiness, satisfied (colloquial)"
1036,安心,あ,"peace of mind, relief"
1037,大勢,おおぜい,"large numbers, a lot of (people)"
1038,医者,いしゃ,"doctor (colloquial, plain)"
1039,運転手,う,driver
1040,新幹線,し,bullet train
1041,往復,おうふく,round trip
1042,コピー,こぴ,"copy, photocopy"
1043,奥,おく,"inner part, the back"
1044,重さ,おもさ,weight
1045,親しい,したしい,"intimate, familiar"
1046,修理,しゅうり,"repair, mending"
1047,カード,か,card
1048,挨拶,あいさつ,"greet, greeting"
1049,階段,かいだ,"steps, flight of stairs"
1050,配る,くばる,"hand out, distribute"
1051,断る,ことわる,"refuse, turn down"
1052,グラム,ぐらむ,gram
1053,濃い,こい,"strong, concentrated"
1054,壊す,こわす,"break (something), destroy"
1055,桜,さくら,"cherry tree, cherry blossom"
1056,仕方,しかた,"way, method"
1057,絵,え,"picture, painting"
1058,気温,きお,air temperature
1059,品物,しなもの,"article, goods"
1060,吸う,すう,"inhale, suck"
1061,案内,あんあい,"guide, guidance"
1062,スキー,すき,"ski, skiing"
1063,金持ち,かねもち,wealthy person
1064,尋ねる,たずねる,"inquire, ask"
1065,叩く,たたく,"tap, hit"
1066,帰り,かえり,"return, going home"
1067,卵,たまご,egg
1068,氷,こおり,ice
1069,留学生,りゅうがくせい,student studying abroad
1070,ソフト,そふと,"software, program"
1071,歯医者,はいしゃ,dentist
1072,蹴る,ける,kick
1073,敷く,しく,"lay, spread"
1074,ひととき,ひととき,"some moments, a while"
1075,交通事故,こうつうじこ,traffic accident
1076,遭う,あう,"meet, encounter, get caught in"
1077,招待,しょうたい,invitation
1078,咲く,さく,"bloom, blossom"
1079,二十歳,はたち,20 years old
1080,銀,ぎ,silver
1081,内側,うちがわ,"inside, interior"
1082,池,いけ,pond
1083,石,いし,"stone, small rock"
1084,愛,あい,love
1085,課,か,"section, division"
1086,大学院,だいがくい,graduate school
1087,台所,だいどころ,kitchen
1088,カラー,から,color (loan word)
1089,すり,すり,pickpocket
1090,キャンプ,きゃ,"camping, camp"
1091,オートバイ,お,"motorbike, motorcycle"
1092,建つ,たつ,"be built, be erected"
1093,刺す,さす,"sting, stab"
1094,言い方,いいかた,"way of speaking, expression"
1095,沈む,しずむ,sink
1096,組み立てる,くみたてる,"set up, put together"
1097,恐ろしい,おそろしい,"terrible, awful"
1098,外人,がいじ,"foreigner, alien"
1099,牛,うし,"cattle, cow"
1100,食堂,しょくどう,"cafeteria, restaurant"
1101,毎年,まいね,every year (formal)
1102,毎週,まいしゅう,every week
1103,何度,な,"how many times, how many degrees"
1104,なかなか,なかなか,"not easily, not readily"
1105,さっき,さっき,"earlier, only a moment ago"
1106,久しぶり,ひさしぶり,after a long time
1107,便利,べ,convenience
1108,迷惑,めいわく,"trouble, annoyance"
1109,そんなに,そんあに,so much
1110,びっくりする,びっくりする,"be surprised, be startled (casual)"
1111,足りる,たりる,"suffice, be enough"
1112,疲れる,つかれる,"get tired, become fatigued"
1113,ひどい,ひどい,"cruel, awful"
1114,全然,ぜ,(not ) at all
1115,猫,ねこ,cat
1116,デパート,でぱ,department store (loan word)
1117,トイレ,といれ,toilet
1118,地下鉄,ちかてつ,subway
1119,駐車場,ちゅうしゃじょう,"parking area, parking lot"
1120,ぶつかる,ぶつかる,"hit, bump into"
1121,運賃,う,(passenger) fare
1122,通学,つうがく,commuting to school
1123,見送る,みおくる,see (someone) off
1124,泣く,なく,"cry, weep"
1125,レストラン,れすとら,restaurant
1126,メモ,めも,"memo, note"
1127,予約,よやく,"reservation, appointment"
1128,番号,ば,assigned number
1129,注文,ちゅうも,order
1130,パン,ぱ,bread
1131,ワイン,わい,wine
1132,材料,ざいりょう,"material, ingredient"
1133,豚肉,ぶたにく,pork
1134,焼く,やく,"bake, grill"
1135,匂い,におい,"(pleasant) smell, odor"
1136,付ける,つける,"attach, apply, put"
1137,痩せる,やせる,"lose weight, become thin"
1138,届ける,とどける,deliver
1139,間に合う,まにあう,"be in time, suffice"
1140,向く,むく,"turn, face"
1141,強さ,つよさ,strength
1142,得意,とくい,"one’s specialty, be good at"
1143,塗る,ぬる,"spread on, paint"
1144,投げる,なげる,throw
1145,習う,ならう,"learn, take lessons"
1146,注目,ちゅうもく,"attention, notice"
1147,未来,みらい,future
1148,箱,はこ,"box, case"
1149,右手,みぎて,right hand
1150,左手,ひだりて,left hand
1151,プール,ぷ,pool
1152,ピアノ,ぴあの,piano
1153,光る,ひかる,"shine, emit light, sparkle"
1154,踏む,ふむ,"step on, tread on"
1155,別々,べつべつ,separately
1156,ボール,ぼ,ball
1157,握る,にぎる,"grasp, grip, hold"
1158,真っ赤,まっか,deep red
1159,拾う,ひろう,pick up
1160,回す,まわす,"turn, rotate (something)"
1161,ノート,の,notebook (loan word)
1162,辞める,やめる,"resign, leave (one’s job), quit"
1163,揺れる,ゆれる,"shake, sway"
1164,立派,りっぱ,"fine, elegant"
1165,練習,れ,"practice, training"
1166,割る,わる,"divide, split"
1167,部分,ぶぶ,"part, section"
1168,拭く,ふく,"wipe, dry"
1169,招く,まねく,invite
1170,急,きゅう,"urgent, steep"
1171,汚れる,よごれる,become dirty
1172,渡る,わたる,"cross, go across"
1173,途中,とちゅう,"on the way, half way"
1174,インタビュー,い,interview (loan word)
1175,盗む,ぬすむ,"steal, rob"
1176,普段,ふだ,"usual, ordinary"
1177,旅館,りょか,Japanese inn
1178,博物館,はくぶつか,museum
1179,ホーム,ほ,platform (for short)
1180,引っ越す,ひっこす,"move, relocate"
1181,荷物,にもつ,"baggage, load"
1182,家賃,やち,rent
1183,計画,けいかく,plan
1184,廊下,ろうか,"hallway, corridor"
1185,天井,て,ceiling
1186,ベッド,べ,bed
1187,ソファー,そ,"sofa, couch"
1188,屋根,やね,roof
1189,祭り,まつり,festival
1190,離婚,りこ,divorce
1191,葉,は,leaf
1192,ボート,ぼ,"light boat, small craft"
1193,燃える,もえる,"burn, catch on fire"
1194,巻く,まく,"roll up, wrap"
1195,プラスチック,ぷらすちっく,plastic
1196,訪れる,おとずれる,go and visit (place)
1197,破る,やぶる,"tear, breach"
1198,関係,か,"relation, relationship"
1199,録音,ろくお,(sound) recording
1200,不幸,ふこう,"unhappiness, misfortune"
1201,外国語,がいこくご,language
1202,着物,きもの,traditional Japanese clothes
1203,牛乳,ぎゅうにゅう,milk
1204,救急車,きゅうきゅうしゃ,ambulance
1205,果物,くだもの,fruit
1206,間違い,まちがい,"mistake, error"
1207,映画館,えいがか,movie theater
1208,怖い,こわい,"scary, be afraid"
1209,鏡,かがみ,mirror
1210,草,くさ,"grass, weed"
1211,敬語,けいご,polite speech
1212,欠席,けっせき,absence
1213,スイッチ,すいっち,switch
1214,掃除,そうじ,cleaning
1215,畳,たたみ,straw mat
1216,速さ,はやさ,speed
1217,林,はやし,"woods, forest"
1218,プレゼント,ぷれぜ,present (loan word)
1219,弁当,べ,boxed lunch
1220,いつでも,いつでも,"at all times, any time"
1221,寂しい,さびしい,"lonely, desolate, sad"
1222,少しも,すこしも,(not) in the least
1223,尊敬,そ,"respect, esteem"
1224,テニス,てにす,tennis
1225,広さ,ひろさ,"area, extent"
1226,読み,よみ,reading
1227,我慢,がま,"patience, endurance"
1228,国籍,こくせき,"nationality, citizenship"
1229,恥ずかしい,はずかしい,"embarrassed, ashamed"
1230,ボタン,ぼた,button
1231,洋服,ようふく,(western-style) clothes
1232,油,あぶら,oil
1233,おかしい,おかしい,"funny, comical"
1234,余る,あまる,"remain, be in excess"
1235,コート,こ,sports court
1236,正直,しょうじき,"honest, upright"
1237,ドラマ,どらま,drama
1238,ビザ,びざ,visa
1239,水道,すいどう,tap water
1240,店員,てに,"clerk, salesperson"
1241,電池,で,battery
1242,ポケット,ぽけっと,pocket
1243,握手,あくしゅ,handshake
1244,そろそろ,そろそろ,"soon, it’s about time"
1245,ぶどう,ぶどう,grapes
1246,迷う,まよう,get lost
1247,見物,け,"sightseeing, visit"
1248,知らせる,しらせる,"let know, inform"
1249,神社,じ,Shinto shrine
1250,注射,ちゅうしゃ,"injection, shot"
1251,めったに,めったに,"rarely, seldom"
1252,作文,さくぶ,"composition, essay"
1253,鳴る,なる,"sound, ring"
1254,真面目,まじめ,serious and sincere
1255,申し込む,もうしこむ,"apply, sign up"
1256,冷蔵庫,れいぞうこ,refrigerator
1257,気に入る,きにいる,"like, be pleased with"
1258,クリスマス,くりすます,Christmas
1259,ネクタイ,ねくたい,"tie, necktie"
1260,誕生日,た,birthday
1261,独身,どくし,"single, unmarried"
1262,苦い,にがい,bitter
1263,バイオリン,ばいおり,violin
1264,バッグ,ば,bag
1265,今まで,いままで,until now
1266,切符,きっぷ,ticket
1267,ゴム,ごむ,"elastic, rubber"
1268,少々,しょうしょう,"a little, a bit"
1269,随分,ずいぶ,"extremely, considerably"
1270,引っ張る,ひっぱる,"pull, drag"
1271,焼ける,やける,"burn, cook"
1272,鉛筆,え,pencil
1273,会話,かいわ,conversation
1274,ギター,ぎた,guitar
1275,茶,ちゃ,tea
1276,暑さ,あつさ,heat (of weather)
1277,胃,い,stomach
1278,禁煙,きね,non-smoking
1279,丸い,まるい,round
1280,写る,うつる,be photographed
1281,喫茶店,きっさて,"coffee shop, café"
1282,やっぱり,やっぱり,"just as I thought, after all"
1283,週刊誌,しゅうか,weekly magazine
1284,棚,たな,"shelf, rack"
1285,震える,ふるえる,"tremble, shake"
1286,磨く,みがく,"polish, grind"
1287,カーテン,か,curtain
1288,火事,かじ,"fire, blaze"
1289,ナイフ,ないふ,knife
1290,皆さん,みなさ,"everybody, everyone (polite)"
1291,受ける,うける,"receive, take, undergo"
1292,付く,つく,"stick to, cling to"
1293,私,わたくし,I (formal)
1294,結構,けっこう,quite
1295,悪口,わるくち,"slander, abuse"
1296,広まる,ひろまる,"spread, get around"
1297,内緒,ないしょ,"secrecy, privacy"
1298,つぶる,つぶる,close (eyes)
1299,用件,ようけ,"matter, things to be done"
1300,ロマンチック,ろま,romantic
1301,貯金,ちょき,"savings, deposit"
1302,バイク,ばいく,motorcycle
1303,預かる,あずかる,"take care of, keep"
1304,オレンジ,おれ,orange
1305,噛む,かむ,"bite, chew"
1306,きつい,きつい,"tight, tough"
1307,越える,こえる,"go over, go across"
1308,小包,こ,"parcel, package"
1309,新年,しんえ,new year
1310,配達,はいたつ,delivery
1311,動物園,どうぶつえ,zoo
1312,封筒,ふうとう,envelope
1313,危ない,あぶない,dangerous
1314,テキスト,てきすと,"text, textbook"
1315,ビニール,びに,"plastic, vinyl"
1316,アルバム,あるばむ,album
1317,水泳,すいえい,swimming
1318,混む,こむ,"be crowded, be congested"
1319,スカート,すか,skirt
1320,取れる,とれる,"come off, be removed"
1321,ペン,ぺ,pen
1322,物,もの,"thing, object"
1323,郵便,ゆうび,"mail service, postal mail"
1324,割れる,われる,"crack, split"
1325,駅員,えきい,station attendant
1326,おしゃべり,おしゃべり,"talkative, chatty"
1327,緑色,みどりいろ,green color
1328,毎朝,まいあさ,every morning
1329,曲げる,まげる,bend (something)
1330,きっと,きっと,"surely, certainly"
1331,理科,りか,science (school subject)
1332,下着,したぎ,underwear
1333,太る,ふとる,"grow fat, gain weight"
1334,冷房,れいぼう,air conditioning (cooling)
1335,別れる,わかれる,"separate, part"
1336,空く,あく,become available or vacant
1337,出掛ける,でかける,"go out, leave home"
1338,毎晩,まいば,every evening
1339,指輪,ゆびわ,ring
1340,腐る,くさる,"rot, go bad"
1341,貧乏,び,"poverty, destitution"
1342,おしゃれ,おしゃれ,"trendy, fashionable"
1343,休憩,きゅうけい,break
1344,舌,した,tongue
1345,ジュース,じゅ,juice
1346,ゼロ,ぜろ,"zero, none (loan word)"
1347,朝刊,ちょうか,morning edition paper
1348,丁寧,ていねい,"polite, careful"
1349,苦手,にがて,"not good at, be bad at"
1350,日,ひ,"(specific) day, sun, daytime"
1351,引っ越し,ひっこし,moving (house)
1352,歩道,ほどう,"sidewalk, pavement"
1353,折れる,おれる,"break, snap"
1354,見送り,みおくり,send-off
1355,夕刊,ゆうか,evening edition paper
1356,この間,このあいだ,"the other day, not so long ago"
1357,冷える,ひえる,"cool down, get chilled"
1358,ピンク,ぴ,pink
1359,グラス,ぐらす,glass
1360,毛,け,"hair, down"
1361,黒板,こくば,blackboard
1362,積もる,つもる,pile up
1363,半年,は,half a year
1364,現在,げ,"the present, present time"
1365,利用,りよう,"utilization, usage"
1366,方法,ほうほう,"method, procedure"
1367,中心,ちゅうし,"center (of a circle, etc.), core"
1368,明らか,あきらか,"clear, obvious"
1369,社長,しゃちょう,president (of a company)
1370,ほぼ,ほぼ,"almost, nearly"
1371,商品,しょうひ,"goods, commodities"
1372,大型,おおがた,"large, large scale"
1373,限る,かぎる,be limited to
1374,記録,きろく,"record, documentation"
1375,具体的,ぐたいてき,"concrete, specific"
1376,効果,こうか,"effect, result"
1377,公開,こうかい,opening (to the public)
1378,作品,さくひ,"work of art, creation"
1379,迫る,せまる,"close in on, approach"
1380,大会,たいかい,"tournament, event"
1381,背景,はいけい,"background, backdrop"
1382,文字,もじ,"character, letter, writing"
1383,規則,きそく,"rule, regulation"
1384,近所,き,neighborhood
1385,グラフ,ぐらぷ,"chart, graph"
1386,首都,しゅと,capital
1387,減らす,へらす,reduce (something)
1388,隠れる,かくれる,hide
1389,美術館,びじゅつか,art museum
1390,ばか,ばか,"foolish, stupid"
1391,暇,ひま,"free time, spare time"
1392,絵葉書,えはがき,picture postcard
1393,あんなに,あんあに,"that much, such"
1394,行き,いき,"going, bound for"
1395,通勤,つうき,commute
1396,ちゃんと,ちゃ,"correctly, properly"
1397,のんびり,の,take it easy
1398,緊張,き,"tension, strain"
1399,気付く,き,"notice, realize"
1400,物語,ものがたり,"story, tale"
1401,出口,でぐち,exit
1402,登る,のぼる,"climb, go up"
1403,真っ白,まっしろ,pure-white
1404,下ろす,おろす,"bring down, take down"
1405,貸し出す,かしだす,"lend, lend out"
1406,サッカー,さっか,"soccer, football"
1407,暖房,だ,heating
1408,手袋,てぶくろ,gloves
1409,留守,るす,not at home
1410,嘘,うそ,lie
1411,遠慮,え,"restraint, hold back"
1412,折る,おる,"break (something), fold (something)"
1413,スープ,す,soup
1414,バナナ,ばなな,banana
1415,可哀相,かわいそう,"poor, pitiful"
1416,パトカー,ぱとか,police car
1417,ハンバーガー,は,hamburger
1418,毛布,もうふ,blanket
1419,エスカレーター,えすかれ,escalator
1420,お嬢さん,おじょうさ,"young lady, daughter"
1421,手帳,てちょう,pocket notebook
1422,タオル,たおる,towel
1423,売店,ばいて,"booth, shop"
1424,パチンコ,ぱちこ,pachinko (Japanese pinball)
1425,謝る,あやまる,apologize
1426,ケーキ,け,cake
1427,天気予報,て,weather forecast
1428,変,へ,"strange, weird"
1429,一生懸命,い,"hard-working, doing one’s best"
1430,間違う,まちがう,"make a mistake, be wrong"
1431,事務室,じむしつ,office
1432,スーツ,す,suit
1433,チケット,ちけっと,ticket (loan word)
1434,チョコレート,ちょこれ,chocolate
1435,脱ぐ,ぬぐ,take off (clothes)
1436,年賀状,ね,New Year’s card
1437,乗り物,のりもの,"vehicle, transportation"
1438,布団,ふと,Japanese-style padded mattress
1439,役に立つ,やくにたつ,"be useful, be helpful"
1440,破れる,やぶれる,"tear, rip open"
1441,用事,ようじ,"errand, business"
1442,写す,うつす,"copy, photograph"
1443,腕時計,うでどけい,wrist watch
1444,贈り物,おくりもの,"present, gift"
1445,チャンネル,ちゃんえる,channel
1446,冷やす,ひやす,"chill (something), cool down"
1447,片付ける,かたずける,"put in order, clean up"
1448,乾杯,か,"toast, drink (in celebration)"
1449,停車,ていしゃ,stop (of a train)
1450,鳴く,なく,"sing, cry (of animals)"
1451,ガソリンスタンド,がそり,gas station
1452,片道,かたみち,one way (trip)
1453,交番,こうば,police box
1454,大分,だいぶ,"greatly, fairly, highly"
1455,デート,で,"date, romantic meeting"
1456,梅雨,つゆ,rainy season
1457,真っ直ぐ,まっすぐ,straight
1458,レモン,れも,lemon
1459,上着,うわぎ,"outerwear, coat, jacket"
1460,偉い,えらい,"great, eminent"
1461,書き方,かきかた,"how to write, way of writing"
1462,炊く,たく,cook (rice)
1463,チーズ,ち,cheese
1464,ドライブ,どらいぶ,drive (loan word)
1465,踏切,ふみきり,railroad crossing
1466,ラケット,らけっと,racket
1467,受付,うけつけ,"receptionist, information office"
1468,怒る,おこる,"get angry, scold"
1469,化粧,けしょう,makeup
1470,都合,つごう,"convenience, availability"
1471,ひげ,ひげ,"beard, moustache"
1472,本棚,ほ,"bookshelf, bookcase"
1473,真っ暗,まっくら,pitch-dark
1474,沸く,わく,"boil, get loud (crowd applause etc.)"
1475,売り切れる,うりきれる,"sell out, go out of stock"
1476,押し入れ,おしいれ,sliding-door closet
1477,革,かわ,leather
1478,ぐっすり,ぐっすり,soundly
1479,紅茶,こうちゃ,black tea
1480,邪魔,じゃま,"disturbance, blocking"
1481,ソース,そ,sauce
1482,足す,たす,add (things of the same kind)
1483,トマト,とまと,tomato
1484,バター,ばた,butter
1485,発車,は,departure (of a vehicle)
1486,バレーボール,ばれ,volleyball
1487,おかず,おかず,dishes to go with the rice
1488,カレンダー,かれ,calendar
1489,とにかく,とにかく,"in any case, anyway"
1490,楽しみ,たのしみ,"enjoyment, something looked forward to"
1491,おしゃべり,おしゃべり,"chatter, idle talk"
1492,読書,どくしょ,reading books
1493,寒気,さむけ,chill
1494,夕焼け,ゆうやけ,sunset glow
1495,傷める,いためる,"damage, hurt"
1496,くすぐったい,くすぐったい,ticklish
1497,泥棒,どろぼう,"thief, burglar"
1498,襖,ふすま,paper sliding door
1499,美人,びじ,beautiful woman
1500,タイプライター,たいぷらいた,typewriter
1501,再来年,さらいね,the year after next
1502,冗談,じょうだ,joke
1503,近付く,ちか,"approach, come close"
1504,電話帳,で,telephone book
1505,ベル,べる,bell
1506,干す（ほす）,ほす,hang (something) out to dry
1507,金額,き,"amount of money, sum"
1508,蚊,か,mosquito
1509,悲しむ,かなしむ,"feel sad, lament"
1510,クーラー,く,air conditioner (cooling)
1511,失礼,しつれい,"rudeness, to excuse oneself"
1512,洗濯機,せ,"washing machine, washer"
1513,豆腐,とうふ,tofu
1514,昼寝,ひるね,nap
1515,不便,ふべ,inconvenient
1516,ミルク,みるく,milk (loan word)
1517,向こう側,むこうがわ,other side
1518,億,おく,hundred million
1519,お礼,おれい,"thanks, gratitude"
1520,着せる,きせる,dress (someone)
1521,サラダ,さらだ,salad
1522,代える,かえる,substitute for
1523,四角,しかく,square
1524,急行,きゅこう,express train
1525,交差点,こうさて,"crossing, intersection"
1526,覚める,さめる,"awake, wake up (naturally)"
1527,昼休み,ひるやすみ,lunch break
1528,ベルト,べると,belt
1529,真っ黒,まっくろ,"black, jet-black"
1530,皆様,みなさま,"everyone, ladies and gentlemen"
1531,ラーメン,ら,ramen (Chinese noodles)
1532,ライター,らいた,lighter
1533,ワイシャツ,わいしゃつ,"business shirt, dress shirt"
1534,転ぶ,ころぶ,"fall down, fall over"
1535,シャワー,しゃわ,shower
1536,扇風機,せ,electric fan
1537,遅刻,ちこく,"tardiness, lateness"
1538,釣る,つる,"fish, catch"
1539,うどん,うど,Japanese wheat noodles
1540,仮名,かな,kana
1541,記念日,きね,"memorial day, anniversary"
1542,下り,くだり,"downhill, going down"
1543,掲示板,けいじば,"notice board, bulletin board"
1544,凍る,こおる,freeze
1545,ごみ,ごみ,trash
1546,スーパーマーケット,す,supermarket
1547,ぶらぶら,ぶらぶら,"wander, walk around"
1548,アナウンサー,あなう,announcer
1549,自炊,じすい,cooking (for oneself)
1550,止める,とめる,stop (something/someone)
1551,年下,としした,"younger, junior"
1552,治す,なおす,cure (something)
1553,箸,はし,chopsticks
1554,花見,はなみ,flower viewing
1555,引き出し,ひきだし,drawer
1556,訳,やく,translation
1557,いかが,いかが,how
1558,交通費,こうつうひ,"traveling expense, transportation fee"
1559,ステレオ,すてれお,stereo
1560,再会,さいかい,"meeting again, reunion"
1561,滑る,すべる,"slide, slip"
1562,早口,はやくち,speaking fast
1563,裏返す,うらがえす,"turn over, turn inside out"
1564,角,かど,"corner, edge"
1565,きらきら,きらきら,"sparkling, glittering"
1566,三角,さ,"figure, area etc."
1567,激しい,はげしい,"violent, intense"
1568,経営,けいえい,"management, operation"
1569,拡大,かくだい,"magnification, enlargement"
1570,姿勢,しせい,"posture, attitude"
1571,周辺,しゅうへ,"area, region"
1572,他,た,other (Chinese origin)
1573,達する,たっする,"attain, reach"
1574,当時,とうじ,at that time
1575,当然,とうぜ,"natural, as a matter of course"
1576,能力,のうりょく,"capability, performance ability of machine, etc."
